"packages","downloads"
"jsdom",9816772
"node-gyp",8641635
"node-sass",8465637
"less",3829789
"npm",3696486
"phantomjs-prebuilt",2322747
"google-auto-auth",2148650
"npm-registry-client",1969589
"webdriver-manager",1787963
"gcs-resumable-upload",1173820
"loggly",927305
"hipchat-notifier",835173
"coveralls",792233
"node-facebook",690070
"chromedriver",634271
"webdriverio",622236
"codecov",559439
"cypress",530450
"nugget",495465
"cordova-lib",483981
"node-geocoder",473958
"insight",450571
"request-image-size",440801
"deathbycaptcha",432004
"domotz-request-retry",431532
"gatsby",431495
"deathbycaptcha2",431299
"selenium-standalone",424801
"web-resource-inliner",386474
"twilio",383285
"ethereum-rpc-promise",371962
"sqlite3",353970
"universal-analytics",350821
"wd",330078
"azure-storage",275709
"nativescript",265033
"graphql-code-generator",258203
"probe-image-size",256830
"firebase-tools",223075
"jwks-rsa",206985
"soap",200211
"wait-on",198892
"passport-azure-ad",192333
"get-pixels",187626
"json-server",186053
"xdl",179110
"ms-rest",154953
"nano",150149
"cloudant-follow",147899
"bower-registry-client",145100
"ngrok",143354
"mksnapshot",137135
"servify",132663
"appium-base-driver",131372
"jsforce",127924
"ms-rest-azure",120950
"jspm",114128
"jspm-github",111848
"jspm-npm",110443
"adal-node",110035
"bugsnag",106885
"web3-provider-engine",105067
"htmlhint",104337
"pxt-core",103521
"spectron",103409
"wdio-sauce-service",103092
"composer-runtime",101989
"strong-remoting",98521
"express-request-proxy",97231
"appium-support",93092
"bugsnag-sourcemaps",92775
"auth0",86678
"retire",84779
"gapitoken",84728
"graphql-cli",84020
"node-gcm",81806
"node-loggly-bulk",80654
"jira-connector",79449
"appium-xcuitest-driver",76422
"intercom-client",72467
"vue-cli",71843
"ldclient-node",71811
"appium-chromedriver",70241
"appium-ios-driver",69064
"azure-common",68815
"request-etag",68603
"google-url",67433
"appium-remote-debugger",66788
"cldr-data-downloader",66748
"node-telegram-bot-api",66534
"unirest",65607
"appium-uiautomator2-driver",65212
"appium-espresso-driver",64086
"binwrap",63088
"binaris",63049
"codacy-coverage",62625
"twitter",60892
"appium",60260
